Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-01-29T02:08:59Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikael Backlund,Winner,Calgary Flames,Robert Thomas,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:10:02Z,1,00:18,19:42,Giveaway,n/a,80.0,-40.0,Cam Talbot,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:10:48Z,1,00:23,19:37,Faceoff,n/a,69.0,22.0,Ryan O'Reilly,Winner,St. Louis Blues,Mikael Backlund,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:10:49Z,1,00:42,19:18,Giveaway,n/a,24.0,-37.0,David Perron,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:10:51Z,1,00:44,19:16,Shot,Wrist Shot,-37.0,-1.0,Elias Lindholm,Shooter,Calgary Flames,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:11:09Z,1,01:02,18:58,Missed Shot,n/a,-80.0,5.0,Andrew Mangiapane,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:11:21Z,1,01:14,18:46,Hit,n/a,-8.0,-39.0,Elias Lindholm,Hitter,Calgary Flames,David Perron,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:11:46Z,1,01:39,18:21,Takeaway,n/a,98.0,16.0,Jaden Schwartz,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:12:28Z,1,02:21,17:39,Hit,n/a,31.0,-27.0,Noah Hanifin,Hitter,Calgary Flames,Sammy Blais,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:12:35Z,1,02:28,17:32,Hit,n/a,91.0,-32.0,Jacob de la Rose,Hitter,St. Louis Blues,Noah Hanifin,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:13:25Z,1,03:18,16:42,Blocked Shot,n/a,-73.0,-4.0,Alex Pietrangelo,Blocker,St. Louis Blues,Buddy Robinson,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:13:35Z,1,03:27,16:33,Shot,Backhand,-72.0,-2.0,Buddy Robinson,Shooter,Calgary Flames,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:13:51Z,1,03:27,16:33,Faceoff,n/a,-69.0,-22.0,Elias Lindholm,Winner,Calgary Flames,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:14:10Z,1,03:35,16:25,Shot,Slap Shot,-35.0,-30.0,Mark Giordano,Shooter,Calgary Flames,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:14:44Z,1,04:08,15:52,Giveaway,n/a,-5.0,18.0,David Perron,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:14:46Z,1,04:11,15:49,Shot,Wrist Shot,-48.0,-26.0,Matthew Tkachuk,Shooter,Calgary Flames,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:15:03Z,1,04:12,15:48,Faceoff,n/a,-69.0,-22.0,Sean Monahan,Winner,Calgary Flames,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:15:21Z,1,04:18,15:42,Blocked Shot,n/a,-45.0,-5.0,Colton Parayko,Blocker,St. Louis Blues,Johnny Gaudreau,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:15:34Z,1,04:29,15:31,Giveaway,n/a,40.0,-23.0,Brayden Schenn,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:15:52Z,1,04:49,15:11,Missed Shot,n/a,-45.0,-28.0,Sean Monahan,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:16:21Z,1,05:18,14:42,Missed Shot,n/a,-54.0,-37.0,Mark Jankowski,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-01-29T02:16:45Z,1,05:40,14:20,Giveaway,n/a,-10.0,28.0,Oliver Kylington,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
