Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-20T03:07:45Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,J.T. Miller,Winner,Vancouver Canucks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:08:26Z,1,00:18,19:42,Blocked Shot,n/a,-61.0,10.0,William Karlsson,Blocker,Vegas Golden Knights,J.T. Miller,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:08:39Z,1,00:31,19:29,Shot,Wrist Shot,63.0,-10.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:09:18Z,1,01:11,18:49,Giveaway,n/a,-62.0,-42.0,Mark Stone,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:09:47Z,1,01:36,18:24,Hit,n/a,37.0,-39.0,Antoine Roussel,Hitter,Vancouver Canucks,Deryk Engelland,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:09:47Z,1,01:39,18:21,Shot,Wrist Shot,69.0,-37.0,Alex Tuch,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:10:08Z,1,01:39,18:21,Faceoff,n/a,69.0,-22.0,Jay Beagle,Winner,Vancouver Canucks,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:10:37Z,1,02:07,17:53,Hit,n/a,-97.0,2.0,Tyler Motte,Hitter,Vancouver Canucks,Deryk Engelland,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:10:50Z,1,02:20,17:40,Hit,n/a,-85.0,-35.0,Antoine Roussel,Hitter,Vancouver Canucks,Nate Schmidt,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:11:17Z,1,02:46,17:14,Hit,n/a,46.0,41.0,William Carrier,Hitter,Vegas Golden Knights,Tyler Myers,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:11:19Z,1,02:48,17:12,Shot,Wrist Shot,-80.0,8.0,Adam Gaudette,Shooter,Vancouver Canucks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:11:26Z,1,02:49,17:11,Goal,Wrist Shot,-80.0,-4.0,Antoine Roussel,Scorer,Vancouver Canucks,Adam Gaudette,Assist,Vancouver Canucks,Jake Virtanen,Assist,Vancouver Canucks,Marc-Andre Fleury,Goalie,Vegas Golden Knights
2019-12-20T03:12:08Z,1,02:49,17:11,Faceoff,n/a,0.0,0.0,J.T. Miller,Winner,Vancouver Canucks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:12:34Z,1,03:21,16:39,Shot,Wrist Shot,51.0,-32.0,Brayden McNabb,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:12:54Z,1,03:21,16:39,Faceoff,n/a,69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:13:29Z,1,03:45,16:15,Missed Shot,n/a,35.0,-13.0,Shea Theodore,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:13:39Z,1,03:55,16:05,Shot,Deflected,77.0,8.0,Reilly Smith,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:13:48Z,1,04:04,15:56,Giveaway,n/a,33.0,-37.0,Bo Horvat,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:13:59Z,1,04:15,15:45,Shot,Wrist Shot,35.0,28.0,Nick Holden,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:14:13Z,1,04:16,15:44,Faceoff,n/a,69.0,22.0,Max Pacioretty,Winner,Vegas Golden Knights,Tyler Motte,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:14:57Z,1,04:20,15:40,Blocked Shot,n/a,45.0,-32.0,Tim Schaller,Blocker,Vancouver Canucks,Deryk Engelland,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:15:12Z,1,04:20,15:40,Faceoff,n/a,69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Mark Stone,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:16:04Z,1,05:01,14:59,Giveaway,n/a,-98.0,-11.0,Marc-Andre Fleury,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:16:10Z,1,05:06,14:54,Hit,n/a,-52.0,-41.0,Tim Schaller,Hitter,Vancouver Canucks,Alex Tuch,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:16:20Z,1,05:08,14:52,Penalty,Tripping,-52.0,40.0,Nicolas Hague,PenaltyOn,Vegas Golden Knights,Jay Beagle,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:16:49Z,1,05:08,14:52,Faceoff,n/a,-69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:17:28Z,1,05:52,14:08,Missed Shot,n/a,-54.0,21.0,Elias Pettersson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:17:46Z,1,06:10,13:50,Shot,Deflected,-77.0,-2.0,Bo Horvat,Shooter,Vancouver Canucks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:18:00Z,1,06:23,13:37,Shot,Wrist Shot,73.0,13.0,Chandler Stephenson,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:18:45Z,1,07:08,12:52,Goal,Wrist Shot,-77.0,6.0,Tanner Pearson,Scorer,Vancouver Canucks,Josh Leivo,Assist,Vancouver Canucks,Jake Virtanen,Assist,Vancouver Canucks,Marc-Andre Fleury,Goalie,Vegas Golden Knights
2019-12-20T03:19:37Z,1,07:08,12:52,Faceoff,n/a,0.0,0.0,Jonathan Marchessault,Winner,Vegas Golden Knights,Jay Beagle,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:21:57Z,1,07:35,12:25,Faceoff,n/a,-20.0,-22.0,Adam Gaudette,Winner,Vancouver Canucks,Tomas Nosek,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:22:29Z,1,07:55,12:05,Shot,Wrist Shot,-48.0,-26.0,Tomas Nosek,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:22:37Z,1,08:03,11:57,Shot,Wrist Shot,-65.0,19.0,Adam Gaudette,Shooter,Vancouver Canucks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:22:55Z,1,08:20,11:40,Hit,n/a,51.0,39.0,Troy Stecher,Hitter,Vancouver Canucks,William Carrier,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:23:01Z,1,08:27,11:33,Hit,n/a,47.0,37.0,Brayden McNabb,Hitter,Vegas Golden Knights,Brock Boeser,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:23:44Z,1,09:09,10:51,Hit,n/a,11.0,26.0,Alex Tuch,Hitter,Vegas Golden Knights,Elias Pettersson,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:23:55Z,1,09:21,10:39,Blocked Shot,n/a,51.0,-2.0,Brock Boeser,Blocker,Vancouver Canucks,Nate Schmidt,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:24:17Z,1,09:43,10:17,Hit,n/a,-88.0,-35.0,Jay Beagle,Hitter,Vancouver Canucks,Nicolas Hague,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:24:26Z,1,09:52,10:08,Blocked Shot,n/a,80.0,15.0,Christopher Tanev,Blocker,Vancouver Canucks,Shea Theodore,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:24:51Z,1,10:16,09:44,Shot,Wrist Shot,34.0,-21.0,Quinn Hughes,Shooter,Vancouver Canucks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:27:00Z,1,10:42,09:18,Faceoff,n/a,-20.0,22.0,J.T. Miller,Winner,Vancouver Canucks,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:27:49Z,1,11:06,08:54,Shot,Wrist Shot,35.0,-20.0,William Karlsson,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:27:54Z,1,11:08,08:52,Shot,Wrist Shot,79.0,-4.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:28:13Z,1,11:30,08:30,Hit,n/a,39.0,39.0,William Karlsson,Hitter,Vegas Golden Knights,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:28:28Z,1,11:45,08:15,Hit,n/a,90.0,-32.0,Josh Leivo,Hitter,Vancouver Canucks,Max Pacioretty,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:28:38Z,1,11:55,08:05,Blocked Shot,n/a,44.0,11.0,Antoine Roussel,Blocker,Vancouver Canucks,Nate Schmidt,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:29:32Z,1,12:31,07:29,Faceoff,n/a,69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:29:58Z,1,12:40,07:20,Faceoff,n/a,69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:30:28Z,1,13:00,07:00,Blocked Shot,n/a,72.0,-21.0,Jordie Benn,Blocker,Vancouver Canucks,Alex Tuch,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:30:46Z,1,13:12,06:48,Hit,n/a,17.0,-41.0,Paul Stastny,Hitter,Vegas Golden Knights,Antoine Roussel,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:31:29Z,1,13:26,06:34,Faceoff,n/a,-20.0,-22.0,J.T. Miller,Winner,Vancouver Canucks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:31:43Z,1,13:52,06:08,Giveaway,n/a,-37.0,-16.0,J.T. Miller,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-20T03:31:50Z,1,13:57,06:03,Shot,Wrist Shot,82.0,5.0,William Karlsson,Shooter,Vegas Golden Knights,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
