Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-17T02:08:40Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:09:22Z,1,00:16,19:44,Missed Shot,n/a,-77.0,0.0,Sam Reinhart,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:09:33Z,1,00:28,19:32,Hit,n/a,42.0,-40.0,Jack Eichel,Hitter,Buffalo Sabres,Jakob Silfverberg,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:09:53Z,1,00:45,19:15,Missed Shot,n/a,-42.0,0.0,Sam Reinhart,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:09:57Z,1,00:45,19:15,Hit,n/a,-80.0,-38.0,Josh Manson,Hitter,Anaheim Ducks,Jack Eichel,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:10:08Z,1,01:03,18:57,Takeaway,n/a,-46.0,11.0,Jeff Skinner,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:10:14Z,1,01:08,18:52,Takeaway,n/a,-61.0,-5.0,Josh Manson,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:10:32Z,1,01:25,18:35,Shot,Wrist Shot,-51.0,22.0,Jeff Skinner,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:10:42Z,1,01:26,18:34,Missed Shot,n/a,-88.0,9.0,Jeff Skinner,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:10:58Z,1,01:27,18:33,Faceoff,n/a,-69.0,22.0,Derek Grant,Winner,Anaheim Ducks,Evan Rodrigues,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:11:30Z,1,01:47,18:13,Hit,n/a,43.0,-40.0,Colin Miller,Hitter,Buffalo Sabres,Carter Rowney,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:11:37Z,1,01:54,18:06,Giveaway,n/a,80.0,32.0,Rasmus Dahlin,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:11:42Z,1,01:59,18:01,Shot,Wrist Shot,40.0,-7.0,Korbinian Holzer,Shooter,Anaheim Ducks,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:11:48Z,1,02:06,17:54,Giveaway,n/a,53.0,37.0,Nick Ritchie,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:11:58Z,1,02:16,17:44,Shot,Wrist Shot,-35.0,7.0,Jimmy Vesey,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:12:15Z,1,02:32,17:28,Hit,n/a,-96.0,10.0,Kyle Okposo,Hitter,Buffalo Sabres,Michael Del Zotto,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:12:46Z,1,02:52,17:08,Hit,n/a,-30.0,3.0,Michael Del Zotto,Hitter,Anaheim Ducks,Kyle Okposo,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:13:27Z,1,03:14,16:46,Shot,Wrist Shot,-80.0,7.0,Sam Reinhart,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:13:03Z,1,03:15,16:45,Shot,Tip-In,-80.0,4.0,Jack Eichel,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:13:51Z,1,04:08,15:52,Hit,n/a,98.0,-11.0,Ryan Getzlaf,Hitter,Anaheim Ducks,Rasmus Dahlin,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:14:23Z,1,04:33,15:27,Missed Shot,n/a,86.0,10.0,Ryan Getzlaf,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:14:57Z,1,04:36,15:24,Faceoff,n/a,69.0,22.0,Johan Larsson,Winner,Buffalo Sabres,Max Jones,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:15:10Z,1,04:47,15:13,Hit,n/a,-35.0,38.0,Max Jones,Hitter,Anaheim Ducks,Johan Larsson,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:15:48Z,1,05:07,14:53,Penalty,Tripping,-96.0,16.0,Kyle Okposo,PenaltyOn,Buffalo Sabres,Cam Fowler,DrewBy,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:16:17Z,1,05:07,14:53,Faceoff,n/a,69.0,22.0,Vladimir Sobotka,Winner,Buffalo Sabres,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:16:32Z,1,05:38,14:22,Hit,n/a,32.0,-27.0,Jake McCabe,Hitter,Buffalo Sabres,Troy Terry,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:16:54Z,1,06:00,14:00,Shot,Slap Shot,54.0,11.0,Cam Fowler,Shooter,Anaheim Ducks,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:17:21Z,1,06:27,13:33,Takeaway,n/a,78.0,27.0,Marco Scandella,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:17:53Z,1,06:59,13:01,Giveaway,n/a,86.0,-34.0,Zemgus Girgensons,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:18:07Z,1,07:14,12:46,Shot,Snap Shot,40.0,18.0,Hampus Lindholm,Shooter,Anaheim Ducks,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:18:13Z,1,07:19,12:41,Missed Shot,n/a,84.0,-9.0,Carter Rowney,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:18:26Z,1,07:32,12:28,Blocked Shot,n/a,67.0,1.0,Jack Eichel,Blocker,Buffalo Sabres,Josh Manson,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:18:36Z,1,07:35,12:25,Goal,Wrist Shot,-80.0,5.0,Jack Eichel,Scorer,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:19:19Z,1,07:35,12:25,Faceoff,n/a,0.0,0.0,Adam Henrique,Winner,Anaheim Ducks,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:19:30Z,1,07:44,12:16,Shot,Wrist Shot,-71.0,-22.0,Jeff Skinner,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:19:52Z,1,08:06,11:54,Giveaway,n/a,14.0,38.0,Jakob Silfverberg,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:20:28Z,1,08:41,11:19,Blocked Shot,n/a,70.0,-12.0,Jake McCabe,Blocker,Buffalo Sabres,Ondrej Kase,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:20:54Z,1,09:07,10:53,Blocked Shot,n/a,74.0,-11.0,Casey Mittelstadt,Blocker,Buffalo Sabres,Sam Steel,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:21:01Z,1,09:15,10:45,Shot,Wrist Shot,-64.0,-4.0,Evan Rodrigues,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:21:09Z,1,09:20,10:40,Blocked Shot,n/a,78.0,-21.0,Jimmy Vesey,Blocker,Buffalo Sabres,Sam Steel,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:23:28Z,1,09:21,10:39,Faceoff,n/a,69.0,-22.0,Johan Larsson,Winner,Buffalo Sabres,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:23:29Z,1,09:32,10:28,Hit,n/a,-39.0,38.0,Korbinian Holzer,Hitter,Anaheim Ducks,Zemgus Girgensons,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:23:38Z,1,09:40,10:20,Shot,Snap Shot,-57.0,-18.0,Marco Scandella,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:24:21Z,1,09:41,10:19,Faceoff,n/a,-69.0,-22.0,Derek Grant,Winner,Anaheim Ducks,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:24:42Z,1,10:02,09:58,Giveaway,n/a,-3.0,-3.0,Jake McCabe,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:25:12Z,1,10:05,09:55,Hit,n/a,66.0,-2.0,Jake McCabe,Hitter,Buffalo Sabres,Derek Grant,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:24:48Z,1,10:06,09:54,Shot,Backhand,81.0,-9.0,Derek Grant,Shooter,Anaheim Ducks,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:25:28Z,1,10:07,09:53,Faceoff,n/a,69.0,-22.0,Vladimir Sobotka,Winner,Buffalo Sabres,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:26:01Z,1,10:26,09:34,Shot,Wrap-around,-86.0,-6.0,Vladimir Sobotka,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:26:17Z,1,10:42,09:18,Shot,Snap Shot,-46.0,23.0,Vladimir Sobotka,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:26:43Z,1,10:46,09:14,Shot,Wrist Shot,-69.0,22.0,Jeff Skinner,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:26:25Z,1,10:51,09:09,Blocked Shot,n/a,-75.0,0.0,Cam Fowler,Blocker,Anaheim Ducks,Rasmus Ristolainen,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:27:07Z,1,11:12,08:48,Faceoff,n/a,69.0,22.0,Sam Steel,Winner,Anaheim Ducks,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:29:41Z,1,11:28,08:32,Faceoff,n/a,20.0,22.0,Derek Grant,Winner,Anaheim Ducks,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:29:45Z,1,11:36,08:24,Blocked Shot,n/a,64.0,-15.0,Rasmus Dahlin,Blocker,Buffalo Sabres,Josh Manson,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:29:46Z,1,11:38,08:22,Hit,n/a,96.0,15.0,Nick Ritchie,Hitter,Anaheim Ducks,Rasmus Dahlin,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:29:55Z,1,11:47,08:13,Hit,n/a,-96.0,18.0,Josh Manson,Hitter,Anaheim Ducks,Victor Olofsson,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:30:04Z,1,11:56,08:04,Hit,n/a,95.0,-13.0,Carter Rowney,Hitter,Anaheim Ducks,Colin Miller,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:30:08Z,1,12:00,08:00,Shot,Tip-In,83.0,-8.0,Nick Ritchie,Shooter,Anaheim Ducks,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:31:00Z,1,12:52,07:08,Shot,Wrist Shot,-79.0,-30.0,Jimmy Vesey,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:31:16Z,1,12:53,07:07,Penalty,Tripping,-55.0,-22.0,Henri Jokiharju,PenaltyOn,Buffalo Sabres,Jakob Silfverberg,DrewBy,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:31:45Z,1,12:53,07:07,Faceoff,n/a,69.0,-22.0,Ryan Getzlaf,Winner,Anaheim Ducks,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:31:59Z,1,13:11,06:49,Missed Shot,n/a,49.0,21.0,Sam Steel,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:32:17Z,1,13:29,06:31,Blocked Shot,n/a,76.0,-9.0,Jake McCabe,Blocker,Buffalo Sabres,Michael Del Zotto,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:32:35Z,1,13:47,06:13,Giveaway,n/a,40.0,-26.0,Sam Steel,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:33:02Z,1,14:04,05:56,Giveaway,n/a,83.0,7.0,Colin Miller,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:32:55Z,1,14:07,05:53,Shot,Wrist Shot,81.0,-8.0,Troy Terry,Shooter,Anaheim Ducks,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:33:43Z,1,14:08,05:52,Faceoff,n/a,69.0,-22.0,Johan Larsson,Winner,Buffalo Sabres,Jakob Silfverberg,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:33:47Z,1,14:16,05:44,Shot,Snap Shot,71.0,36.0,Evan Rodrigues,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:34:04Z,1,14:33,05:27,Takeaway,n/a,75.0,29.0,Evan Rodrigues,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:34:08Z,1,14:37,05:23,Giveaway,n/a,50.0,33.0,Evan Rodrigues,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:34:16Z,1,14:45,05:15,Hit,n/a,88.0,-16.0,Jakob Silfverberg,Hitter,Anaheim Ducks,Rasmus Ristolainen,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:34:25Z,1,14:54,05:06,Giveaway,n/a,67.0,-18.0,Troy Terry,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:34:33Z,1,15:02,04:58,Shot,Wrist Shot,-71.0,7.0,Johan Larsson,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:34:37Z,1,15:06,04:54,Shot,Tip-In,-77.0,0.0,Johan Larsson,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:35:02Z,1,15:22,04:38,Penalty,Holding the stick,-53.0,-35.0,Adam Henrique,PenaltyOn,Anaheim Ducks,Jack Eichel,DrewBy,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:37:49Z,1,15:22,04:38,Faceoff,n/a,-69.0,22.0,Derek Grant,Winner,Anaheim Ducks,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:37:34Z,1,15:45,04:15,Giveaway,n/a,-7.0,31.0,Sam Reinhart,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:38:02Z,1,16:12,03:48,Shot,Wrist Shot,-68.0,11.0,Jack Eichel,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:38:09Z,1,16:19,03:41,Hit,n/a,-59.0,34.0,Jacob Larsson,Hitter,Anaheim Ducks,Jeff Skinner,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T02:38:25Z,1,16:34,03:26,Shot,Tip-In,-82.0,-8.0,Jeff Skinner,Shooter,Buffalo Sabres,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
