Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-13T03:39:21Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Blake Lizotte,Winner,Los Angeles Kings,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:40:30Z,1,00:14,19:46,Faceoff,n/a,-69.0,22.0,Joel Eriksson Ek,Winner,Minnesota Wild,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:40:53Z,1,00:24,19:36,Hit,n/a,-14.0,-28.0,Ben Hutton,Hitter,Los Angeles Kings,Luke Kunin,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:41:01Z,1,00:31,19:29,Hit,n/a,94.0,-29.0,Jordan Greenway,Hitter,Minnesota Wild,Alec Martinez,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:41:30Z,1,00:35,19:25,Faceoff,n/a,69.0,22.0,Zach Parise,Winner,Minnesota Wild,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:41:56Z,1,00:47,19:13,Hit,n/a,32.0,38.0,Matt Roy,Hitter,Los Angeles Kings,Kevin Fiala,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:42:10Z,1,01:04,18:56,Giveaway,n/a,-99.0,10.0,Jonas Brodin,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:42:12Z,1,01:04,18:56,Shot,Wrist Shot,-37.0,36.0,Matt Roy,Shooter,Los Angeles Kings,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:42:41Z,1,01:05,18:55,Faceoff,n/a,-69.0,22.0,Anze Kopitar,Winner,Los Angeles Kings,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:42:44Z,1,01:07,18:53,Shot,Slap Shot,-39.0,3.0,Sean Walker,Shooter,Los Angeles Kings,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:42:53Z,1,01:10,18:50,Goal,Wrist Shot,-81.0,1.0,Anze Kopitar,Scorer,Los Angeles Kings,Sean Walker,Assist,Los Angeles Kings,Alex Iafallo,Assist,Los Angeles Kings,Devan Dubnyk,Goalie,Minnesota Wild
2019-11-13T03:43:16Z,1,01:10,18:50,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:44:24Z,1,02:05,17:55,Hit,n/a,-69.0,39.0,Matt Luff,Hitter,Los Angeles Kings,Carson Soucy,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:44:32Z,1,02:17,17:43,Missed Shot,n/a,51.0,25.0,Ryan Donato,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:44:48Z,1,02:33,17:27,Shot,Wrist Shot,83.0,-8.0,Zach Parise,Shooter,Minnesota Wild,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:44:52Z,1,02:38,17:22,Giveaway,n/a,60.0,36.0,Austin Wagner,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:44:52Z,1,02:52,17:08,Blocked Shot,n/a,62.0,10.0,Alec Martinez,Blocker,Los Angeles Kings,Jonas Brodin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:45:51Z,1,03:19,16:41,Faceoff,n/a,69.0,22.0,Eric Staal,Winner,Minnesota Wild,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:46:37Z,1,03:51,16:09,Takeaway,n/a,-25.0,26.0,Michael Amadio,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:46:45Z,1,04:00,16:00,Giveaway,n/a,47.0,-28.0,Sean Walker,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:46:46Z,1,04:03,15:57,Blocked Shot,n/a,53.0,2.0,Drew Doughty,Blocker,Los Angeles Kings,Joel Eriksson Ek,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:47:06Z,1,04:04,15:56,Faceoff,n/a,69.0,22.0,Dustin Brown,Winner,Los Angeles Kings,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:47:43Z,1,04:22,15:38,Hit,n/a,36.0,24.0,Drew Doughty,Hitter,Los Angeles Kings,Jordan Greenway,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:48:10Z,1,04:29,15:31,Faceoff,n/a,20.0,-22.0,Nikolai Prokhorkin,Winner,Los Angeles Kings,Victor Rask,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:48:34Z,1,04:32,15:28,Penalty,Cross checking,19.0,-27.0,Kyle Clifford,PenaltyOn,Los Angeles Kings,Ryan Hartman,DrewBy,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:49:16Z,1,04:32,15:28,Faceoff,n/a,69.0,22.0,Jeff Carter,Winner,Los Angeles Kings,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:49:39Z,1,05:04,14:56,Shot,Wrist Shot,74.0,-19.0,Alec Martinez,Shooter,Los Angeles Kings,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:50:46Z,1,06:02,13:58,Hit,n/a,47.0,40.0,Jeff Carter,Hitter,Los Angeles Kings,Mats Zuccarello,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:50:58Z,1,06:19,13:41,Hit,n/a,82.0,-35.0,Mats Zuccarello,Hitter,Minnesota Wild,Ben Hutton,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:51:11Z,1,06:35,13:25,Giveaway,n/a,45.0,18.0,Drew Doughty,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:53:24Z,1,06:37,13:23,Faceoff,n/a,20.0,22.0,Blake Lizotte,Winner,Los Angeles Kings,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:53:56Z,1,06:53,13:07,Hit,n/a,-92.0,25.0,Joel Eriksson Ek,Hitter,Minnesota Wild,Blake Lizotte,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:54:28Z,1,07:25,12:35,Shot,Wrist Shot,-44.0,13.0,Blake Lizotte,Shooter,Los Angeles Kings,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:54:46Z,1,07:36,12:24,Shot,Wrist Shot,88.0,-19.0,Jared Spurgeon,Shooter,Minnesota Wild,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:55:05Z,1,07:37,12:23,Faceoff,n/a,69.0,-22.0,Ryan Hartman,Winner,Minnesota Wild,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:55:53Z,1,07:48,12:12,Blocked Shot,n/a,80.0,-9.0,Drew Doughty,Blocker,Los Angeles Kings,Jared Spurgeon,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:55:59Z,1,07:50,12:10,Faceoff,n/a,69.0,-22.0,Nikolai Prokhorkin,Winner,Los Angeles Kings,Victor Rask,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:56:14Z,1,08:07,11:53,Shot,Wrist Shot,74.0,18.0,Victor Rask,Shooter,Minnesota Wild,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:56:21Z,1,08:12,11:48,Takeaway,n/a,68.0,19.0,Ryan Hartman,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:56:25Z,1,08:15,11:45,Shot,Snap Shot,61.0,-1.0,Ryan Hartman,Shooter,Minnesota Wild,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:56:47Z,1,08:16,11:44,Faceoff,n/a,69.0,22.0,Mikko Koivu,Winner,Minnesota Wild,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:57:15Z,1,08:31,11:29,Faceoff,n/a,69.0,22.0,Mikko Koivu,Winner,Minnesota Wild,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:58:09Z,1,09:07,10:53,Missed Shot,n/a,-44.0,-36.0,Ben Hutton,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:58:21Z,1,09:15,10:45,Blocked Shot,n/a,59.0,26.0,Alec Martinez,Blocker,Los Angeles Kings,Eric Staal,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:58:22Z,1,09:17,10:43,Missed Shot,n/a,71.0,21.0,Jason Zucker,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:58:25Z,1,09:21,10:39,Shot,Slap Shot,42.0,-32.0,Mats Zuccarello,Shooter,Minnesota Wild,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
