Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-13T03:06:19Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:10:38Z,1,00:35,19:25,Hit,n/a,44.0,-27.0,Kevin Hayes,Hitter,Philadelphia Flyers,Bo Horvat,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:10:42Z,1,00:38,19:22,Shot,Snap Shot,-57.0,25.0,Tanner Pearson,Shooter,Vancouver Canucks,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:11:11Z,1,00:38,19:22,Faceoff,n/a,-69.0,22.0,Sean Couturier,Winner,Philadelphia Flyers,Jay Beagle,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:11:18Z,1,00:49,19:11,Hit,n/a,95.0,10.0,Oskar Lindblom,Hitter,Philadelphia Flyers,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:12:02Z,1,01:33,18:27,Hit,n/a,73.0,-35.0,Carsen Twarynski,Hitter,Philadelphia Flyers,Jordie Benn,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:12:15Z,1,01:46,18:14,Hit,n/a,-48.0,-32.0,Robert Hagg,Hitter,Philadelphia Flyers,J.T. Miller,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:12:24Z,1,01:55,18:05,Hit,n/a,-43.0,24.0,J.T. Miller,Hitter,Vancouver Canucks,Carsen Twarynski,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:12:49Z,1,01:58,18:02,Faceoff,n/a,-20.0,22.0,Michael Raffl,Winner,Philadelphia Flyers,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:13:01Z,1,02:10,17:50,Giveaway,n/a,-24.0,-9.0,Tyler Pitlick,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:13:18Z,1,02:27,17:33,Giveaway,n/a,82.0,-36.0,Alexander Edler,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:13:35Z,1,02:29,17:31,Faceoff,n/a,69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:14:29Z,1,02:45,17:15,Faceoff,n/a,-20.0,-22.0,Elias Pettersson,Winner,Vancouver Canucks,Scott Laughton,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:14:44Z,1,02:54,17:06,Hit,n/a,-21.0,38.0,Carsen Twarynski,Hitter,Philadelphia Flyers,Troy Stecher,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:14:54Z,1,03:04,16:56,Shot,Snap Shot,41.0,-4.0,Robert Hagg,Shooter,Philadelphia Flyers,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:15:13Z,1,03:04,16:56,Faceoff,n/a,69.0,-22.0,Tim Schaller,Winner,Vancouver Canucks,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:15:44Z,1,03:19,16:41,Giveaway,n/a,18.0,37.0,Christopher Tanev,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:15:48Z,1,03:22,16:38,Shot,Wrist Shot,40.0,-15.0,Ivan Provorov,Shooter,Philadelphia Flyers,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:16:03Z,1,03:22,16:38,Faceoff,n/a,69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:16:19Z,1,03:27,16:33,Shot,Wrist Shot,41.0,30.0,Travis Sanheim,Shooter,Philadelphia Flyers,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:16:24Z,1,03:31,16:29,Blocked Shot,n/a,66.0,-1.0,Alexander Edler,Blocker,Vancouver Canucks,Jakub Voracek,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:16:59Z,1,04:06,15:54,Takeaway,n/a,-33.0,19.0,Jakub Voracek,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:17:37Z,1,04:26,15:34,Faceoff,n/a,-69.0,22.0,Sean Couturier,Winner,Philadelphia Flyers,Brock Boeser,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:18:19Z,1,04:48,15:12,Missed Shot,n/a,58.0,-22.0,Justin Braun,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:18:35Z,1,05:00,15:00,Shot,Deflected,-79.0,3.0,Elias Pettersson,Shooter,Vancouver Canucks,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-13T02:18:41Z,1,05:01,14:59,Goal,Snap Shot,-81.0,-6.0,Brock Boeser,Scorer,Vancouver Canucks,Elias Pettersson,Assist,Vancouver Canucks,Christopher Tanev,Assist,Vancouver Canucks,Carter Hart,Goalie,Philadelphia Flyers
