Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-02T03:09:56Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikael Backlund,Winner,Calgary Flames,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:10:43Z,1,00:24,19:36,Giveaway,n/a,83.0,-35.0,Mikael Backlund,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:10:50Z,1,00:27,19:33,Shot,Wrist Shot,48.0,12.0,Oscar Klefbom,Shooter,Edmonton Oilers,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:11:00Z,1,00:29,19:31,Goal,Wrist Shot,72.0,-8.0,Kailer Yamamoto,Scorer,Edmonton Oilers,Oscar Klefbom,Assist,Edmonton Oilers,Leon Draisaitl,Assist,Edmonton Oilers,David Rittich,Goalie,Calgary Flames
2020-02-02T03:11:25Z,1,00:29,19:31,Faceoff,n/a,0.0,0.0,Elias Lindholm,Winner,Calgary Flames,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:12:19Z,1,01:05,18:55,Goal,Wrist Shot,76.0,-12.0,Zack Kassian,Scorer,Edmonton Oilers,Josh Archibald,Assist,Edmonton Oilers,Ethan Bear,Assist,Edmonton Oilers,David Rittich,Goalie,Calgary Flames
2020-02-02T03:12:57Z,1,01:05,18:55,Faceoff,n/a,0.0,0.0,Leon Draisaitl,Winner,Edmonton Oilers,Sean Monahan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:13:27Z,1,01:34,18:26,Shot,Slap Shot,-66.0,-1.0,Johnny Gaudreau,Shooter,Calgary Flames,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:13:33Z,1,01:40,18:20,Blocked Shot,n/a,-75.0,7.0,Ryan Nugent-Hopkins,Blocker,Edmonton Oilers,Travis Hamonic,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:13:55Z,1,01:43,18:17,Faceoff,n/a,-69.0,22.0,Derek Ryan,Winner,Calgary Flames,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:14:13Z,1,01:47,18:13,Shot,Wrist Shot,-47.0,5.0,Dillon Dube,Shooter,Calgary Flames,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:14:23Z,1,01:47,18:13,Faceoff,n/a,-69.0,22.0,Derek Ryan,Winner,Calgary Flames,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:14:46Z,1,01:52,18:08,Blocked Shot,n/a,-67.0,-11.0,Patrick Russell,Blocker,Edmonton Oilers,Noah Hanifin,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:15:05Z,1,02:11,17:49,Giveaway,n/a,51.0,41.0,Rasmus Andersson,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:15:15Z,1,02:22,17:38,Hit,n/a,73.0,41.0,Jujhar Khaira,Hitter,Edmonton Oilers,Rasmus Andersson,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:15:54Z,1,03:00,17:00,Hit,n/a,-97.0,-12.0,Sam Bennett,Hitter,Calgary Flames,Ethan Bear,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:16:00Z,1,03:07,16:53,Hit,n/a,-81.0,38.0,Gaetan Haas,Hitter,Edmonton Oilers,Sam Bennett,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:16:06Z,1,03:12,16:48,Hit,n/a,-99.0,9.0,Darnell Nurse,Hitter,Edmonton Oilers,Tobias Rieder,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:16:44Z,1,03:50,16:10,Giveaway,n/a,-78.0,-37.0,Matt Benning,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:16:54Z,1,04:00,16:00,Giveaway,n/a,-44.0,22.0,Zack Kassian,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:17:05Z,1,04:11,15:49,Shot,Slap Shot,-34.0,25.0,Caleb Jones,Shooter,Edmonton Oilers,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:17:39Z,1,04:46,15:14,Missed Shot,n/a,-60.0,-6.0,Buddy Robinson,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:17:39Z,1,04:46,15:14,Giveaway,n/a,-87.0,-30.0,Oscar Klefbom,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:18:21Z,1,05:26,14:34,Blocked Shot,n/a,75.0,3.0,Buddy Robinson,Blocker,Calgary Flames,Darnell Nurse,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:18:26Z,1,05:32,14:28,Hit,n/a,-25.0,41.0,Patrick Russell,Hitter,Edmonton Oilers,Oliver Kylington,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:18:38Z,1,05:37,14:23,Faceoff,n/a,-69.0,22.0,Leon Draisaitl,Winner,Edmonton Oilers,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:19:22Z,1,05:55,14:05,Faceoff,n/a,-69.0,22.0,Leon Draisaitl,Winner,Edmonton Oilers,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-02T03:19:49Z,1,06:04,13:56,Faceoff,n/a,-69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
