Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-02-16T01:07:19Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Radek Faksa,Winner,Dallas Stars,Nick Suzuki,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:15:42Z,1,00:14,19:46,Hit,n/a,-85.0,-35.0,Stephen Johns,Hitter,Dallas Stars,Jordan Weal,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:15:43Z,1,00:14,19:46,Shot,Wrist Shot,-85.0,-8.0,Nick Suzuki,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:15:52Z,1,00:23,19:37,Shot,Wrist Shot,80.0,-5.0,Blake Comeau,Shooter,Dallas Stars,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:16:11Z,1,00:42,19:18,Blocked Shot,n/a,49.0,-28.0,Nick Suzuki,Blocker,Montréal Canadiens,John Klingberg,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:16:38Z,1,00:43,19:17,Faceoff,n/a,69.0,-22.0,Jason Dickinson,Winner,Dallas Stars,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:17:00Z,1,01:00,19:00,Shot,Wrist Shot,-79.0,-7.0,Max Domi,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:17:09Z,1,01:02,18:58,Goal,Wrist Shot,-82.0,1.0,Joel Armia,Scorer,Montréal Canadiens,Max Domi,Assist,Montréal Canadiens,Artturi Lehkonen,Assist,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars
2020-02-16T00:17:40Z,1,01:02,18:58,Faceoff,n/a,0.0,0.0,Tyler Seguin,Winner,Dallas Stars,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:17:59Z,1,01:09,18:51,Faceoff,n/a,20.0,-22.0,Phillip Danault,Winner,Montréal Canadiens,Roope Hintz,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:18:25Z,1,01:24,18:36,Shot,Backhand,-77.0,5.0,Brendan Gallagher,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:19:03Z,1,01:29,18:31,Faceoff,n/a,-69.0,22.0,Jake Evans,Winner,Montréal Canadiens,Mattias Janmark,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:19:27Z,1,01:35,18:25,Blocked Shot,n/a,-76.0,6.0,Stephen Johns,Blocker,Dallas Stars,Xavier Ouellet,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:19:45Z,1,01:53,18:07,Hit,n/a,-49.0,40.0,Miro Heiskanen,Hitter,Dallas Stars,Dale Weise,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:19:56Z,1,02:05,17:55,Hit,n/a,-18.0,-42.0,Dale Weise,Hitter,Montréal Canadiens,Jason Robertson,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:20:44Z,1,02:53,17:07,Blocked Shot,n/a,-57.0,-20.0,Radek Faksa,Blocker,Dallas Stars,Ben Chiarot,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:20:51Z,1,02:59,17:01,Blocked Shot,n/a,-70.0,1.0,Andrew Cogliano,Blocker,Dallas Stars,Ben Chiarot,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:20:59Z,1,03:07,16:53,Hit,n/a,-89.0,-34.0,Ilya Kovalchuk,Hitter,Montréal Canadiens,John Klingberg,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:20:59Z,1,03:10,16:50,Giveaway,n/a,-53.0,-40.0,Radek Faksa,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:21:02Z,1,03:10,16:50,Blocked Shot,n/a,-73.0,-9.0,Radek Faksa,Blocker,Dallas Stars,Ben Chiarot,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:21:35Z,1,03:43,16:17,Hit,n/a,-84.0,-37.0,Jamie Oleksiak,Hitter,Dallas Stars,Marco Scandella,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:21:46Z,1,03:55,16:05,Missed Shot,n/a,-33.0,35.0,Jeff Petry,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:22:11Z,1,04:19,15:41,Blocked Shot,n/a,-59.0,26.0,Miro Heiskanen,Blocker,Dallas Stars,Brendan Gallagher,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:22:44Z,1,04:52,15:08,Shot,Wrist Shot,34.0,31.0,Jason Robertson,Shooter,Dallas Stars,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:23:19Z,1,05:27,14:33,Shot,Wrist Shot,-48.0,21.0,Jordan Weal,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:23:40Z,1,05:48,14:12,Shot,Wrist Shot,-51.0,25.0,Ben Chiarot,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:24:01Z,1,05:59,14:01,Blocked Shot,n/a,-74.0,0.0,John Klingberg,Blocker,Dallas Stars,Jordan Weal,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:23:55Z,1,06:01,13:59,Shot,Wrist Shot,-61.0,-14.0,Ilya Kovalchuk,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:26:10Z,1,06:02,13:58,Faceoff,n/a,-69.0,-22.0,Tyler Seguin,Winner,Dallas Stars,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:26:39Z,1,06:29,13:31,Blocked Shot,n/a,53.0,-11.0,Max Domi,Blocker,Montréal Canadiens,Tyler Seguin,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:26:59Z,1,06:50,13:10,Takeaway,n/a,-86.0,-21.0,Phillip Danault,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:27:04Z,1,06:54,13:06,Blocked Shot,n/a,-38.0,-17.0,Corey Perry,Blocker,Dallas Stars,Marco Scandella,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:27:16Z,1,07:07,12:53,Blocked Shot,n/a,-71.0,-3.0,Andrej Sekera,Blocker,Dallas Stars,Jeff Petry,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:27:29Z,1,07:20,12:40,Blocked Shot,n/a,-73.0,-4.0,Roope Hintz,Blocker,Dallas Stars,Marco Scandella,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:27:38Z,1,07:28,12:32,Shot,Wrist Shot,-81.0,-6.0,Tomas Tatar,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:28:27Z,1,07:45,12:15,Giveaway,n/a,99.0,-8.0,Carey Price,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:28:07Z,1,07:58,12:02,Shot,Wrist Shot,-34.0,22.0,Ilya Kovalchuk,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:28:12Z,1,08:02,11:58,Shot,Backhand,-78.0,5.0,Nick Suzuki,Shooter,Montréal Canadiens,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:28:30Z,1,08:20,11:40,Shot,Wrist Shot,46.0,5.0,Mattias Janmark,Shooter,Dallas Stars,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:28:59Z,1,08:22,11:38,Faceoff,n/a,69.0,22.0,Jake Evans,Winner,Montréal Canadiens,Mattias Janmark,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:29:06Z,1,08:27,11:33,Blocked Shot,n/a,59.0,3.0,Dale Weise,Blocker,Montréal Canadiens,Esa Lindell,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2020-02-16T00:29:24Z,1,08:45,11:15,Hit,n/a,99.0,-11.0,Xavier Ouellet,Hitter,Montréal Canadiens,Mattias Janmark,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
