Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-12T00:08:31Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nick Paul,Winner,Ottawa Senators,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:09:34Z,1,00:24,19:36,Shot,Snap Shot,7.0,1.0,Nick Paul,Shooter,Ottawa Senators,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:09:53Z,1,00:44,19:16,Goal,Snap Shot,-73.0,16.0,Warren Foegele,Scorer,Carolina Hurricanes,Ryan Dzingel,Assist,Carolina Hurricanes,Brett Pesce,Assist,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators
2019-11-12T00:10:30Z,1,00:44,19:16,Faceoff,n/a,0.0,0.0,Chris Tierney,Winner,Ottawa Senators,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:10:50Z,1,01:01,18:59,Blocked Shot,n/a,-65.0,31.0,Mark Borowiecki,Blocker,Ottawa Senators,Brett Pesce,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:11:27Z,1,01:04,18:56,Shot,Wrist Shot,65.0,-2.0,Anthony Duclair,Shooter,Ottawa Senators,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:11:06Z,1,01:07,18:53,Blocked Shot,n/a,72.0,0.0,Brett Pesce,Blocker,Carolina Hurricanes,Dylan DeMelo,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:12:21Z,1,02:14,17:46,Blocked Shot,n/a,-58.0,-17.0,Thomas Chabot,Blocker,Ottawa Senators,Martin Necas,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:12:32Z,1,02:43,17:17,Giveaway,n/a,32.0,36.0,Anthony Duclair,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:08Z,1,02:44,17:16,Faceoff,n/a,20.0,22.0,Sebastian Aho,Winner,Carolina Hurricanes,Chris Tierney,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:18Z,1,02:52,17:08,Hit,n/a,-30.0,-39.0,Mark Borowiecki,Hitter,Ottawa Senators,Sebastian Aho,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:23Z,1,02:57,17:03,Hit,n/a,-98.0,11.0,Teuvo Teravainen,Hitter,Carolina Hurricanes,Mark Borowiecki,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:43Z,1,03:17,16:43,Hit,n/a,-54.0,39.0,Mark Borowiecki,Hitter,Ottawa Senators,Andrei Svechnikov,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:48Z,1,03:21,16:39,Shot,Snap Shot,9.0,39.0,Jean-Gabriel Pageau,Shooter,Ottawa Senators,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:14:17Z,1,03:51,16:09,Shot,Snap Shot,-37.0,-4.0,Jaccob Slavin,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:14:32Z,1,04:06,15:54,Blocked Shot,n/a,80.0,2.0,Jaccob Slavin,Blocker,Carolina Hurricanes,Nikita Zaitsev,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:13Z,1,04:12,15:48,Faceoff,n/a,20.0,-22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Colin White,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:17Z,1,04:21,15:39,Shot,Snap Shot,-75.0,11.0,Martin Necas,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:34Z,1,04:37,15:23,Missed Shot,n/a,-61.0,-26.0,Lucas Wallmark,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:46Z,1,04:49,15:11,Hit,n/a,-98.0,-10.0,Mark Borowiecki,Hitter,Ottawa Senators,Martin Necas,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:16:28Z,1,05:32,14:28,Hit,n/a,-98.0,17.0,Bobby Ryan,Hitter,Ottawa Senators,Brock McGinn,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:16:33Z,1,05:36,14:24,Missed Shot,n/a,-29.0,38.0,Dougie Hamilton,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:16:54Z,1,05:53,14:07,Giveaway,n/a,-59.0,40.0,Anthony Duclair,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:16:55Z,1,05:57,14:03,Shot,Wrist Shot,-79.0,1.0,Ron Hainsey,Shooter,Ottawa Senators,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:14Z,1,06:09,13:51,Hit,n/a,-86.0,38.0,Jordan Staal,Hitter,Carolina Hurricanes,Thomas Chabot,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:36Z,1,06:36,13:24,Giveaway,n/a,-79.0,15.0,Andrei Svechnikov,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:44Z,1,06:40,13:20,Giveaway,n/a,-58.0,23.0,Nick Paul,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:38Z,1,06:42,13:18,Shot,Snap Shot,-53.0,12.0,Andrei Svechnikov,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:20:24Z,1,06:43,13:17,Faceoff,n/a,-69.0,22.0,Jean-Gabriel Pageau,Winner,Ottawa Senators,Martin Necas,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:20:30Z,1,06:55,13:05,Giveaway,n/a,97.0,11.0,Petr Mrazek,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:20:39Z,1,07:04,12:56,Hit,n/a,96.0,-24.0,Nick Paul,Hitter,Ottawa Senators,Nino Niederreiter,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:18Z,1,07:44,12:16,Giveaway,n/a,-97.0,15.0,Vladislav Namestnikov,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:27Z,1,07:53,12:07,Shot,Snap Shot,-44.0,28.0,Brett Pesce,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:34Z,1,07:59,12:01,Hit,n/a,19.0,-36.0,Vladislav Namestnikov,Hitter,Ottawa Senators,Joel Edmundson,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:40Z,1,08:06,11:54,Hit,n/a,-33.0,39.0,Ron Hainsey,Hitter,Ottawa Senators,Teuvo Teravainen,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:46Z,1,08:11,11:49,Hit,n/a,-90.0,28.0,Andrei Svechnikov,Hitter,Carolina Hurricanes,Erik Brannstrom,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:22:04Z,1,08:30,11:30,Hit,n/a,91.0,-31.0,Bobby Ryan,Hitter,Ottawa Senators,Brian Gibbons,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:22:46Z,1,08:38,11:22,Penalty,Fighting,61.0,-16.0,Bobby Ryan,PenaltyOn,Ottawa Senators,Brock McGinn,DrewBy,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:22:58Z,1,08:38,11:22,Penalty,Fighting,59.0,-11.0,Brock McGinn,PenaltyOn,Carolina Hurricanes,Bobby Ryan,DrewBy,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:23:24Z,1,08:38,11:22,Faceoff,n/a,20.0,-22.0,Chris Tierney,Winner,Ottawa Senators,Ryan Dzingel,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:24:06Z,1,08:57,11:03,Hit,n/a,94.0,-21.0,Chris Tierney,Hitter,Ottawa Senators,Jaccob Slavin,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:24:15Z,1,09:06,10:54,Hit,n/a,93.0,-27.0,Jaccob Slavin,Hitter,Carolina Hurricanes,Brady Tkachuk,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:25:09Z,1,10:00,10:00,Blocked Shot,n/a,-87.0,-4.0,Dylan DeMelo,Blocker,Ottawa Senators,Lucas Wallmark,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:25:21Z,1,10:12,09:48,Hit,n/a,-76.0,-42.0,Lucas Wallmark,Hitter,Carolina Hurricanes,Erik Brannstrom,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:25:34Z,1,10:19,09:41,Giveaway,n/a,-54.0,-39.0,Nino Niederreiter,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:25:40Z,1,10:31,09:29,Hit,n/a,90.0,-30.0,Vladislav Namestnikov,Hitter,Ottawa Senators,Brett Pesce,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:26:04Z,1,10:54,09:06,Shot,Snap Shot,-33.0,27.0,Haydn Fleury,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:27:49Z,1,10:55,09:05,Faceoff,n/a,-69.0,22.0,Nick Paul,Winner,Ottawa Senators,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:28:50Z,1,11:15,08:45,Faceoff,n/a,-69.0,-22.0,Jordan Staal,Winner,Carolina Hurricanes,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:29:11Z,1,11:20,08:40,Blocked Shot,n/a,-78.0,-2.0,Thomas Chabot,Blocker,Ottawa Senators,Jaccob Slavin,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:29:46Z,1,11:24,08:36,Blocked Shot,n/a,-78.0,14.0,Nick Paul,Blocker,Ottawa Senators,Dougie Hamilton,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:29:22Z,1,11:30,08:30,Hit,n/a,-97.0,0.0,Warren Foegele,Hitter,Carolina Hurricanes,Dylan DeMelo,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:29:35Z,1,11:44,08:16,Shot,Snap Shot,-61.0,16.0,Dougie Hamilton,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:29:54Z,1,12:01,07:59,Shot,Slap Shot,36.0,15.0,Dylan DeMelo,Shooter,Ottawa Senators,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:30:31Z,1,12:06,07:54,Faceoff,n/a,-20.0,-22.0,J.C. Beaudin,Winner,Ottawa Senators,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:31:05Z,1,12:11,07:49,Faceoff,n/a,-69.0,-22.0,Teuvo Teravainen,Winner,Carolina Hurricanes,J.C. Beaudin,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:31:19Z,1,12:14,07:46,Missed Shot,n/a,-50.0,-39.0,Jake Gardiner,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:31:23Z,1,12:19,07:41,Takeaway,n/a,-32.0,23.0,Andrei Svechnikov,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:31:26Z,1,12:22,07:38,Giveaway,n/a,-37.0,26.0,Andrei Svechnikov,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:31:41Z,1,12:36,07:24,Shot,Wrist Shot,-33.0,-1.0,Jake Gardiner,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:32:07Z,1,12:37,07:23,Faceoff,n/a,-69.0,22.0,Jean-Gabriel Pageau,Winner,Ottawa Senators,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:32:54Z,1,13:15,06:45,Hit,n/a,-97.0,5.0,Lucas Wallmark,Hitter,Carolina Hurricanes,Thomas Chabot,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:33:07Z,1,13:24,06:36,Missed Shot,n/a,-72.0,2.0,Lucas Wallmark,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:33:15Z,1,13:35,06:25,Hit,n/a,-96.0,-10.0,Jordan Staal,Hitter,Carolina Hurricanes,Dylan DeMelo,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:33:26Z,1,13:46,06:14,Blocked Shot,n/a,-68.0,-13.0,Tyler Ennis,Blocker,Ottawa Senators,Jaccob Slavin,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:33:28Z,1,13:48,06:12,Takeaway,n/a,-40.0,-12.0,Jaccob Slavin,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:33:34Z,1,13:53,06:07,Missed Shot,n/a,-66.0,-12.0,Jordan Staal,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:33:44Z,1,14:04,05:56,Missed Shot,n/a,-81.0,5.0,Ryan Dzingel,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:34:09Z,1,14:30,05:30,Shot,Wrist Shot,-78.0,-26.0,Jake Gardiner,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:34:16Z,1,14:32,05:28,Blocked Shot,n/a,-57.0,18.0,Brady Tkachuk,Blocker,Ottawa Senators,Haydn Fleury,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:34:25Z,1,14:44,05:16,Takeaway,n/a,24.0,-34.0,Brady Tkachuk,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:36:45Z,1,14:46,05:14,Faceoff,n/a,20.0,-22.0,Chris Tierney,Winner,Ottawa Senators,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:36:59Z,1,14:52,05:08,Faceoff,n/a,20.0,22.0,Chris Tierney,Winner,Ottawa Senators,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:37:47Z,1,15:19,04:41,Blocked Shot,n/a,80.0,2.0,Martin Necas,Blocker,Carolina Hurricanes,Thomas Chabot,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:38:04Z,1,15:38,04:22,Hit,n/a,-94.0,-15.0,Mark Borowiecki,Hitter,Ottawa Senators,Eetu Luostarinen,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:38:12Z,1,15:47,04:13,Hit,n/a,-16.0,-39.0,Bobby Ryan,Hitter,Ottawa Senators,Brock McGinn,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:38:22Z,1,15:56,04:04,Hit,n/a,-8.0,-19.0,Bobby Ryan,Hitter,Ottawa Senators,Eetu Luostarinen,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:38:28Z,1,16:03,03:57,Hit,n/a,-91.0,-26.0,Brock McGinn,Hitter,Carolina Hurricanes,Dylan DeMelo,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:38:29Z,1,16:04,03:56,Shot,Snap Shot,42.0,26.0,Mark Borowiecki,Shooter,Ottawa Senators,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:39:00Z,1,16:05,03:55,Faceoff,n/a,69.0,22.0,Nick Paul,Winner,Ottawa Senators,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:39:11Z,1,16:10,03:50,Penalty,Interference,45.0,24.0,Jean-Gabriel Pageau,PenaltyOn,Ottawa Senators,Warren Foegele,DrewBy,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:39:53Z,1,16:10,03:50,Faceoff,n/a,-69.0,-22.0,Sebastian Aho,Winner,Carolina Hurricanes,J.C. Beaudin,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:40:06Z,1,16:16,03:44,Missed Shot,n/a,-30.0,2.0,Dougie Hamilton,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:40:15Z,1,16:33,03:27,Blocked Shot,n/a,-54.0,4.0,J.C. Beaudin,Blocker,Ottawa Senators,Dougie Hamilton,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:40:30Z,1,16:45,03:15,Giveaway,n/a,-68.0,-31.0,Andrei Svechnikov,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:40:32Z,1,16:46,03:14,Giveaway,n/a,-75.0,-7.0,Ron Hainsey,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:40:32Z,1,16:50,03:10,Shot,Snap Shot,-54.0,27.0,Teuvo Teravainen,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:41:37Z,1,17:54,02:06,Blocked Shot,n/a,-55.0,5.0,Vladislav Namestnikov,Blocker,Ottawa Senators,Jake Gardiner,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:42:02Z,1,17:55,02:05,Goal,Wrist Shot,-75.0,13.0,Martin Necas,Scorer,Carolina Hurricanes,Jake Gardiner,Assist,Carolina Hurricanes,Lucas Wallmark,Assist,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators
2019-11-12T00:52:59Z,1,17:55,02:05,Faceoff,n/a,0.0,0.0,Nick Paul,Winner,Ottawa Senators,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:43:01Z,1,18:03,01:57,Faceoff,n/a,-20.0,22.0,Nick Paul,Winner,Ottawa Senators,Ryan Dzingel,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:43:40Z,1,18:12,01:48,Takeaway,n/a,-10.0,36.0,Brett Pesce,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:43:51Z,1,18:23,01:37,Hit,n/a,-94.0,-29.0,Jean-Gabriel Pageau,Hitter,Ottawa Senators,Warren Foegele,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:43:56Z,1,18:26,01:34,Shot,Snap Shot,25.0,40.0,Nick Paul,Shooter,Ottawa Senators,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:44:38Z,1,18:49,01:11,Faceoff,n/a,-69.0,-22.0,Eetu Luostarinen,Winner,Carolina Hurricanes,Colin White,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:44:53Z,1,18:59,01:01,Shot,Snap Shot,-59.0,-33.0,Jaccob Slavin,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:45:22Z,1,19:00,01:00,Faceoff,n/a,-69.0,-22.0,Sebastian Aho,Winner,Carolina Hurricanes,Connor Brown,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:46:00Z,1,19:13,00:47,Penalty,Holding,-74.0,3.0,Teuvo Teravainen,PenaltyOn,Carolina Hurricanes,Jean-Gabriel Pageau,DrewBy,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:46:39Z,1,19:13,00:47,Faceoff,n/a,69.0,22.0,Jordan Staal,Winner,Carolina Hurricanes,Brady Tkachuk,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:05:53Z,2,00:00,20:00,Faceoff,n/a,0.0,0.0,Jordan Staal,Winner,Carolina Hurricanes,Colin White,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:06:18Z,2,00:15,19:45,Missed Shot,n/a,51.0,-3.0,Brock McGinn,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:06:41Z,2,00:36,19:24,Blocked Shot,n/a,-73.0,-3.0,Dougie Hamilton,Blocker,Carolina Hurricanes,Anthony Duclair,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:07:02Z,2,00:59,19:01,Giveaway,n/a,-96.0,2.0,Petr Mrazek,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:07:08Z,2,01:06,18:54,Takeaway,n/a,-81.0,38.0,Tyler Ennis,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:07:18Z,2,01:15,18:45,Shot,Wrist Shot,78.0,9.0,Warren Foegele,Shooter,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:08:01Z,2,01:59,18:01,Blocked Shot,n/a,-76.0,30.0,Haydn Fleury,Blocker,Carolina Hurricanes,Connor Brown,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:08:16Z,2,02:00,18:00,Hit,n/a,-45.0,39.0,Andrei Svechnikov,Hitter,Carolina Hurricanes,Connor Brown,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:08:35Z,2,02:05,17:55,Faceoff,n/a,-69.0,-22.0,Nick Paul,Winner,Ottawa Senators,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:08:42Z,2,02:11,17:49,Missed Shot,n/a,-45.0,30.0,Thomas Chabot,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:09:01Z,2,02:24,17:36,Penalty,Holding,-89.0,31.0,Jake Gardiner,PenaltyOn,Carolina Hurricanes,Chris Tierney,DrewBy,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:09:38Z,2,02:24,17:36,Faceoff,n/a,-69.0,-22.0,Brady Tkachuk,Winner,Ottawa Senators,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:10:37Z,2,03:31,16:29,Missed Shot,n/a,76.0,0.0,Sebastian Aho,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:10:54Z,2,03:49,16:11,Blocked Shot,n/a,-78.0,-10.0,Joel Edmundson,Blocker,Carolina Hurricanes,Colin White,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:11:06Z,2,03:55,16:05,Missed Shot,n/a,-74.0,16.0,Nick Paul,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:11:07Z,2,04:02,15:58,Giveaway,n/a,-27.0,-16.0,Dylan DeMelo,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:11:14Z,2,04:06,15:54,Goal,Wrist Shot,77.0,1.0,Sebastian Aho,Scorer,Carolina Hurricanes,Anders Nilsson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:12:31Z,2,04:06,15:54,Faceoff,n/a,0.0,0.0,J.C. Beaudin,Winner,Ottawa Senators,Brock McGinn,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:12:28Z,2,04:17,15:43,Hit,n/a,-90.0,-31.0,J.C. Beaudin,Hitter,Ottawa Senators,Haydn Fleury,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:13:13Z,2,04:33,15:27,Faceoff,n/a,-20.0,22.0,Jean-Gabriel Pageau,Winner,Ottawa Senators,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:13:40Z,2,04:56,15:04,Hit,n/a,-26.0,-20.0,Mark Borowiecki,Hitter,Ottawa Senators,Warren Foegele,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T01:13:52Z,2,05:09,14:51,Hit,n/a,-86.0,-32.0,Connor Brown,Hitter,Ottawa Senators,Haydn Fleury,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
