Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2020-03-06T01:38:53Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Connor McDavid,Winner,Edmonton Oilers,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:39:35Z,1,00:26,19:34,Takeaway,n/a,-24.0,5.0,James Neal,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:40:00Z,1,00:51,19:09,Shot,Backhand,84.0,-16.0,Connor McDavid,Shooter,Edmonton Oilers,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:40:10Z,1,00:51,19:09,Faceoff,n/a,69.0,-22.0,Kirby Dach,Winner,Chicago Blackhawks,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:40:39Z,1,01:00,19:00,Hit,n/a,-38.0,40.0,Caleb Jones,Hitter,Edmonton Oilers,Drake Caggiula,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:40:49Z,1,01:09,18:51,Blocked Shot,n/a,-56.0,-2.0,Kailer Yamamoto,Blocker,Edmonton Oilers,Lucas Carlsson,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:40:50Z,1,01:11,18:49,Hit,n/a,-39.0,-10.0,Kailer Yamamoto,Hitter,Edmonton Oilers,Lucas Carlsson,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:41:18Z,1,01:38,18:22,Hit,n/a,-83.0,36.0,Drake Caggiula,Hitter,Chicago Blackhawks,Ryan Nugent-Hopkins,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:41:39Z,1,02:00,18:00,Shot,Snap Shot,65.0,30.0,Zack Kassian,Shooter,Edmonton Oilers,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:42:23Z,1,02:43,17:17,Hit,n/a,71.0,-39.0,Jujhar Khaira,Hitter,Edmonton Oilers,Duncan Keith,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:42:40Z,1,02:43,17:17,Faceoff,n/a,69.0,-22.0,David Kampf,Winner,Chicago Blackhawks,Jujhar Khaira,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:43:12Z,1,03:03,16:57,Takeaway,n/a,-97.0,-5.0,Matthew Highmore,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:43:45Z,1,03:36,16:24,Shot,Wrist Shot,-62.0,-10.0,Brandon Saad,Shooter,Chicago Blackhawks,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:43:55Z,1,03:45,16:15,Blocked Shot,n/a,73.0,8.0,Connor Murphy,Blocker,Chicago Blackhawks,Tyler Ennis,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:43:59Z,1,03:50,16:10,Giveaway,n/a,28.0,-36.0,Jonathan Toews,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:44:29Z,1,04:20,15:40,Hit,n/a,-73.0,-39.0,Adam Larsson,Hitter,Edmonton Oilers,Kirby Dach,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:44:40Z,1,04:31,15:29,Hit,n/a,84.0,-37.0,Tyler Ennis,Hitter,Edmonton Oilers,Slater Koekkoek,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:44:49Z,1,04:40,15:20,Shot,Wrist Shot,-56.0,25.0,Olli Maatta,Shooter,Chicago Blackhawks,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:44:56Z,1,04:47,15:13,Shot,Wrist Shot,79.0,-19.0,Kailer Yamamoto,Shooter,Edmonton Oilers,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:45:17Z,1,04:47,15:13,Faceoff,n/a,69.0,-22.0,Dylan Strome,Winner,Chicago Blackhawks,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:45:42Z,1,05:02,14:58,Takeaway,n/a,-20.0,2.0,Kailer Yamamoto,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:45:47Z,1,05:07,14:53,Missed Shot,n/a,63.0,1.0,Leon Draisaitl,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:46:11Z,1,05:32,14:28,Giveaway,n/a,54.0,38.0,Leon Draisaitl,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:46:46Z,1,06:06,13:54,Shot,Tip-In,75.0,3.0,Riley Sheahan,Shooter,Edmonton Oilers,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:46:49Z,1,06:09,13:51,Hit,n/a,61.0,-39.0,Josh Archibald,Hitter,Edmonton Oilers,Ryan Carpenter,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:46:55Z,1,06:15,13:45,Missed Shot,n/a,82.0,11.0,Josh Archibald,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:47:16Z,1,06:36,13:24,Blocked Shot,n/a,83.0,-17.0,Lucas Carlsson,Blocker,Chicago Blackhawks,Josh Archibald,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:47:32Z,1,06:42,13:18,Giveaway,n/a,61.0,-39.0,Ryan Carpenter,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:47:31Z,1,06:51,13:09,Shot,Wrist Shot,66.0,-27.0,Jujhar Khaira,Shooter,Edmonton Oilers,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:47:37Z,1,06:57,13:03,Hit,n/a,86.0,32.0,Slater Koekkoek,Hitter,Chicago Blackhawks,Alex Chiasson,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:47:44Z,1,07:04,12:56,Missed Shot,n/a,40.0,-19.0,Adam Larsson,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:47:45Z,1,07:05,12:55,Hit,n/a,96.0,8.0,Jujhar Khaira,Hitter,Edmonton Oilers,Olli Maatta,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:47:56Z,1,07:17,12:43,Hit,n/a,70.0,-39.0,Dominik Kubalik,Hitter,Chicago Blackhawks,Adam Larsson,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:48:04Z,1,07:25,12:35,Shot,Wrist Shot,-78.0,-5.0,Jonathan Toews,Shooter,Chicago Blackhawks,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:48:33Z,1,07:53,12:07,Hit,n/a,88.0,35.0,Adam Boqvist,Hitter,Chicago Blackhawks,Tyler Ennis,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:48:49Z,1,08:10,11:50,Missed Shot,n/a,-84.0,-17.0,Dylan Strome,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:49:13Z,1,08:33,11:27,Shot,Wrist Shot,55.0,-24.0,Ryan Nugent-Hopkins,Shooter,Edmonton Oilers,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:51:13Z,1,08:34,11:26,Faceoff,n/a,69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Kirby Dach,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:51:35Z,1,08:37,11:23,Blocked Shot,n/a,62.0,-7.0,Connor Murphy,Blocker,Chicago Blackhawks,Kailer Yamamoto,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:52:16Z,1,09:17,10:43,Shot,Wrist Shot,-58.0,-4.0,Alex DeBrincat,Shooter,Chicago Blackhawks,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:52:36Z,1,09:17,10:43,Faceoff,n/a,-69.0,-22.0,Riley Sheahan,Winner,Edmonton Oilers,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:52:55Z,1,09:23,10:37,Giveaway,n/a,-96.0,15.0,Kris Russell,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:53:00Z,1,09:28,10:32,Hit,n/a,-96.0,9.0,Jonathan Toews,Hitter,Chicago Blackhawks,Matt Benning,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:53:37Z,1,09:54,10:06,Faceoff,n/a,-69.0,-22.0,Dylan Strome,Winner,Chicago Blackhawks,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:54:07Z,1,09:56,10:04,Blocked Shot,n/a,-60.0,-13.0,Zack Kassian,Blocker,Edmonton Oilers,Patrick Kane,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:54:27Z,1,09:57,10:03,Faceoff,n/a,-69.0,-22.0,Jujhar Khaira,Winner,Edmonton Oilers,Dylan Strome,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:54:46Z,1,10:15,09:45,Missed Shot,n/a,37.0,27.0,Darnell Nurse,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:54:58Z,1,10:27,09:33,Blocked Shot,n/a,-59.0,2.0,Alex Chiasson,Blocker,Edmonton Oilers,Duncan Keith,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2020-03-06T01:55:18Z,1,10:47,09:13,Shot,Wrist Shot,-51.0,-20.0,Patrick Kane,Shooter,Chicago Blackhawks,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
