Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-13T03:08:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Derek Grant,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:09:16Z,1,00:16,19:44,Hit,n/a,-26.0,38.0,Carter Rowney,Hitter,Anaheim Ducks,Joakim Ryan,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:09:27Z,1,00:27,19:33,Hit,n/a,-27.0,40.0,Drew Doughty,Hitter,Los Angeles Kings,Nicolas Deslauriers,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:09:36Z,1,00:33,19:27,Shot,Snap Shot,-81.0,-24.0,Austin Wagner,Shooter,Los Angeles Kings,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:10:42Z,1,00:33,19:27,Faceoff,n/a,-69.0,-22.0,Blake Lizotte,Winner,Los Angeles Kings,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:10:24Z,1,00:58,19:02,Shot,Wrist Shot,32.0,-28.0,Erik Gudbranson,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:11:04Z,1,00:58,19:02,Faceoff,n/a,69.0,-22.0,Jeff Carter,Winner,Los Angeles Kings,Sam Carrick,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:11:12Z,1,01:14,18:46,Shot,Wrist Shot,62.0,-13.0,Jakob Silfverberg,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:11:19Z,1,01:21,18:39,Missed Shot,n/a,84.0,6.0,Sam Carrick,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:11:57Z,1,01:59,18:01,Blocked Shot,n/a,61.0,8.0,Sean Walker,Blocker,Los Angeles Kings,Ondrej Kase,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:12:05Z,1,02:07,17:53,Shot,Wrist Shot,-69.0,-13.0,Alex Iafallo,Shooter,Los Angeles Kings,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:12:16Z,1,02:09,17:51,Shot,Wrist Shot,62.0,-22.0,Ondrej Kase,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:12:25Z,1,02:17,17:43,Giveaway,n/a,-93.0,7.0,Anze Kopitar,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:12:29Z,1,02:31,17:29,Giveaway,n/a,49.0,-26.0,Joakim Ryan,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:12:32Z,1,02:35,17:25,Shot,Snap Shot,55.0,-16.0,Derek Grant,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:13:12Z,1,03:14,16:46,Hit,n/a,-96.0,9.0,Korbinian Holzer,Hitter,Anaheim Ducks,Jeff Carter,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:13:15Z,1,03:17,16:43,Missed Shot,n/a,-89.0,-10.0,Matt Luff,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:13:22Z,1,03:24,16:36,Blocked Shot,n/a,-48.0,29.0,Sam Steel,Blocker,Anaheim Ducks,Drew Doughty,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:13:24Z,1,03:26,16:34,Giveaway,n/a,-57.0,35.0,Sam Steel,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:13:46Z,1,03:49,16:11,Giveaway,n/a,85.0,24.0,Matt Roy,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:13:48Z,1,03:50,16:10,Hit,n/a,52.0,41.0,Matt Roy,Hitter,Los Angeles Kings,Sam Carrick,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:14:21Z,1,04:23,15:37,Shot,Slap Shot,87.0,-7.0,Jakob Silfverberg,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:14:30Z,1,04:28,15:32,Shot,Wrist Shot,81.0,-3.0,Sam Carrick,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:15:04Z,1,04:29,15:31,Faceoff,n/a,20.0,-22.0,Adam Henrique,Winner,Anaheim Ducks,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:15:20Z,1,04:53,15:07,Hit,n/a,56.0,38.0,Austin Wagner,Hitter,Los Angeles Kings,Max Comtois,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:15:32Z,1,05:06,14:54,Giveaway,n/a,23.0,-9.0,Hampus Lindholm,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:15:56Z,1,05:30,14:30,Giveaway,n/a,-33.0,33.0,Drew Doughty,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:15:58Z,1,05:31,14:29,Hit,n/a,-37.0,39.0,Hampus Lindholm,Hitter,Anaheim Ducks,Dustin Brown,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:16:49Z,1,06:23,13:37,Giveaway,n/a,-32.0,33.0,Sam Steel,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:01Z,1,06:34,13:26,Giveaway,n/a,-96.0,9.0,Josh Mahura,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:05Z,1,06:39,13:21,Shot,Snap Shot,-49.0,-8.0,Kurtis MacDermid,Shooter,Los Angeles Kings,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:12Z,1,06:46,13:14,Shot,Wrist Shot,-50.0,23.0,Sean Walker,Shooter,Los Angeles Kings,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:14Z,1,06:48,13:12,Giveaway,n/a,-37.0,18.0,Kurtis MacDermid,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:36Z,1,07:10,12:50,Missed Shot,n/a,-32.0,-25.0,Kurtis MacDermid,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:44Z,1,07:18,12:42,Giveaway,n/a,18.0,34.0,Sam Carrick,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:54Z,1,07:27,12:33,Giveaway,n/a,34.0,29.0,Kurtis MacDermid,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:17:59Z,1,07:32,12:28,Shot,Backhand,67.0,5.0,Adam Henrique,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:18:08Z,1,07:42,12:18,Missed Shot,n/a,-62.0,5.0,Dustin Brown,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:18:16Z,1,07:49,12:11,Shot,Wrist Shot,-42.0,30.0,Drew Doughty,Shooter,Los Angeles Kings,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:20:29Z,1,07:49,12:11,Faceoff,n/a,-69.0,22.0,Adam Henrique,Winner,Anaheim Ducks,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:21:26Z,1,08:43,11:17,Hit,n/a,97.0,-3.0,Carter Rowney,Hitter,Anaheim Ducks,Matt Roy,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:21:45Z,1,08:58,11:02,Hit,n/a,27.0,40.0,Trevor Lewis,Hitter,Los Angeles Kings,Josh Mahura,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:21:56Z,1,09:15,10:45,Missed Shot,n/a,-11.0,28.0,Matt Roy,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:22:26Z,1,09:45,10:15,Hit,n/a,-98.0,-16.0,Josh Manson,Hitter,Anaheim Ducks,Alex Iafallo,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:22:42Z,1,10:02,09:58,Giveaway,n/a,-69.0,41.0,Anze Kopitar,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:23:04Z,1,10:13,09:47,Shot,Tip-In,83.0,4.0,Rickard Rakell,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:23:12Z,1,10:31,09:29,Shot,Snap Shot,44.0,38.0,Sean Walker,Shooter,Los Angeles Kings,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:23:38Z,1,10:31,09:29,Faceoff,n/a,-69.0,-22.0,Ryan Getzlaf,Winner,Anaheim Ducks,Blake Lizotte,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:23:58Z,1,10:46,09:14,Takeaway,n/a,40.0,-14.0,Austin Wagner,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:24:16Z,1,11:03,08:57,Blocked Shot,n/a,52.0,-9.0,Joakim Ryan,Blocker,Los Angeles Kings,Troy Terry,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:24:32Z,1,11:19,08:41,Blocked Shot,n/a,78.0,3.0,Joakim Ryan,Blocker,Los Angeles Kings,Troy Terry,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:24:45Z,1,11:32,08:28,Shot,Snap Shot,-57.0,-12.0,Trevor Lewis,Shooter,Los Angeles Kings,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:27:03Z,1,11:32,08:28,Faceoff,n/a,-69.0,-22.0,Sam Carrick,Winner,Anaheim Ducks,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:27:30Z,1,11:55,08:05,Shot,Wrist Shot,48.0,-3.0,Jakob Silfverberg,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:28:09Z,1,11:55,08:05,Faceoff,n/a,69.0,-22.0,Ryan Getzlaf,Winner,Anaheim Ducks,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:28:48Z,1,12:40,07:20,Giveaway,n/a,-68.0,40.0,Drew Doughty,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:29:30Z,1,13:02,06:58,Shot,Wrist Shot,49.0,38.0,Josh Mahura,Shooter,Anaheim Ducks,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:29:42Z,1,13:25,06:35,Penalty,Hooking,82.0,-35.0,Max Comtois,PenaltyOn,Anaheim Ducks,Tyler Toffoli,DrewBy,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T03:30:17Z,1,13:25,06:35,Faceoff,n/a,-69.0,-22.0,Derek Grant,Winner,Anaheim Ducks,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
